Facecolor,ZCTA5CE10
#494949,22976
#bfd3e6,22940
#bfd3e6,23084
#bfd3e6,24553
#bfd3e6,24562
#6baed6,22964
#6baed6,22949
#6baed6,22922
#6baed6,22937
#6baed6,22971
#6baed6,24599
#b2df8a,22969
#6a51a3,22923
#6a51a3,22963
#6a51a3,22920
#6a51a3,22959
#6a51a3,23117
#cab2d6,22967
#cab2d6,23093
#cab2d6,24590
#cab2d6,22973
#cab2d6,22942
#cab2d6,23024
#b2df8a,22935
#b2df8a,23065
#33a02c,23055
#33a02c,22946
#33a02c,22974
#33a02c,22938
#33a02c,23022
#fcc5c0,22903
#fcc5c0,22932
#ec7014,22901
#ec7014,22911
#ad074a,22902
#ad074a,22968
#ef3b2c,22958
#ef3b2c,22931
#ef3b2c,22936
#ef3b2c,22947
#997f5f,22943
#997f5f,24464
